2D/3D B M d delta AcceptanceProbability NumberOfPerturbations
2 50 200 0.7 2 0.942000 100000
2 50 200 0.7 3 0.914910 100000
2 50 200 0.7 4 0.886040 100000
2 50 200 0.7 5 0.855240 100000
2 50 200 0.7 6 0.825740 100000
2 50 200 0.7 7 0.799340 100000
2 50 200 0.7 8 0.774150 100000
2 50 200 0.7 9 0.744490 100000
2 50 200 0.7 10 0.718090 100000
2 50 200 0.7 11 0.694480 100000
2 50 200 0.7 12 0.669940 100000
2 50 200 0.7 13 0.644680 100000
2 50 200 0.7 14 0.623800 100000
2 50 200 0.7 15 0.601160 100000
2 50 200 0.7 16 0.573620 100000
2 50 200 0.7 17 0.555810 100000
2 50 200 0.7 18 0.538300 100000
2 50 200 0.7 19 0.518650 100000
2 50 200 0.7 20 0.497770 100000
2 50 200 0.7 21 0.480530 100000
2 50 200 0.7 22 0.464980 100000
2 50 200 0.7 23 0.448690 100000
2 50 200 0.7 24 0.432130 100000
2 50 200 0.7 25 0.420770 100000
2 50 200 0.7 26 0.409290 100000
2 50 200 0.7 27 0.392650 100000
2 50 200 0.7 28 0.378430 100000
2 50 200 0.7 29 0.368030 100000
2 50 200 0.7 30 0.354640 100000
2 50 200 0.7 31 0.344820 100000
2 50 200 0.7 32 0.337810 100000
2 50 200 0.7 33 0.327230 100000
2 50 200 0.7 34 0.317750 100000
2 50 200 0.7 35 0.307930 100000
2 50 200 0.7 36 0.299160 100000
2 50 200 0.7 37 0.291890 100000
2 50 200 0.7 38 0.283370 100000
2 50 200 0.7 39 0.277760 100000
2 50 200 0.7 40 0.274600 100000
2 50 200 0.7 41 0.266320 100000
2 50 200 0.7 42 0.258380 100000
2 50 200 0.7 43 0.251720 100000
2 50 200 0.7 44 0.246530 100000
2 50 200 0.7 45 0.240110 100000
2 50 200 0.7 46 0.235750 100000
2 50 200 0.7 47 0.229900 100000
2 50 200 0.7 48 0.226380 100000
2 50 200 0.7 49 0.219960 100000
2 50 200 0.7 50 0.219150 100000
2 50 200 0.7 51 0.213050 100000
2 50 200 0.7 52 0.207810 100000
2 50 200 0.7 53 0.205390 100000
2 50 200 0.7 54 0.203590 100000
2 50 200 0.7 55 0.197060 100000
2 50 200 0.7 56 0.194170 100000
2 50 200 0.7 57 0.189280 100000
2 50 200 0.7 58 0.186310 100000
2 50 200 0.7 59 0.183210 100000
2 50 200 0.7 60 0.180040 100000
2 50 200 0.7 61 0.178870 100000
2 50 200 0.7 62 0.173010 100000
2 50 200 0.7 63 0.172500 100000
2 50 200 0.7 64 0.171410 100000
2 50 200 0.7 65 0.166250 100000
2 50 200 0.7 66 0.164290 100000
2 50 200 0.7 67 0.159180 100000
2 50 200 0.7 68 0.157640 100000
2 50 200 0.7 69 0.155210 100000
2 50 200 0.7 70 0.155470 100000
2 50 200 0.7 71 0.153210 100000
2 50 200 0.7 72 0.149050 100000
2 50 200 0.7 73 0.148970 100000
2 50 200 0.7 74 0.144430 100000
2 50 200 0.7 75 0.145120 100000
2 50 200 0.7 76 0.141980 100000
2 50 200 0.7 77 0.142150 100000
2 50 200 0.7 78 0.138680 100000
2 50 200 0.7 79 0.137980 100000
2 50 200 0.7 80 0.137440 100000
2 50 200 0.7 81 0.132940 100000
2 50 200 0.7 82 0.129970 100000
2 50 200 0.7 83 0.129320 100000
2 50 200 0.7 84 0.129430 100000
2 50 200 0.7 85 0.126100 100000
2 50 200 0.7 86 0.125100 100000
2 50 200 0.7 87 0.125340 100000
2 50 200 0.7 88 0.123360 100000
2 50 200 0.7 89 0.123020 100000
2 50 200 0.7 90 0.120270 100000
2 50 200 0.7 91 0.119350 100000
2 50 200 0.7 92 0.116750 100000
2 50 200 0.7 93 0.114850 100000
2 50 200 0.7 94 0.116500 100000
2 50 200 0.7 95 0.113390 100000
2 50 200 0.7 96 0.110300 100000
2 50 200 0.7 97 0.114050 100000
2 50 200 0.7 98 0.108680 100000
2 50 200 0.7 99 0.109580 100000
2 50 200 0.7 100 0.107980 100000
2 50 200 0.7 101 0.109170 100000
2 50 200 0.7 102 0.106500 100000
2 50 200 0.7 103 0.104420 100000
2 50 200 0.7 104 0.102700 100000
2 50 200 0.7 105 0.102270 100000
2 50 200 0.7 106 0.101380 100000
2 50 200 0.7 107 0.100320 100000
2 50 200 0.7 108 0.100420 100000
2 50 200 0.7 109 0.097630 100000
2 50 200 0.7 110 0.096620 100000
2 50 200 0.7 111 0.097440 100000
2 50 200 0.7 112 0.096150 100000
2 50 200 0.7 113 0.094670 100000
2 50 200 0.7 114 0.095420 100000
2 50 200 0.7 115 0.092490 100000
2 50 200 0.7 116 0.093190 100000
2 50 200 0.7 117 0.091960 100000
2 50 200 0.7 118 0.090020 100000
2 50 200 0.7 119 0.089850 100000
2 50 200 0.7 120 0.091340 100000
2 50 200 0.7 121 0.089470 100000
2 50 200 0.7 122 0.087420 100000
2 50 200 0.7 123 0.085950 100000
2 50 200 0.7 124 0.088210 100000
2 50 200 0.7 125 0.087680 100000
2 50 200 0.7 126 0.085500 100000
2 50 200 0.7 127 0.085930 100000
2 50 200 0.7 128 0.082280 100000
2 50 200 0.7 129 0.083560 100000
2 50 200 0.7 130 0.081670 100000
2 50 200 0.7 131 0.082410 100000
2 50 200 0.7 132 0.082220 100000
2 50 200 0.7 133 0.081930 100000
2 50 200 0.7 134 0.079400 100000
2 50 200 0.7 135 0.078510 100000
2 50 200 0.7 136 0.080160 100000
2 50 200 0.7 137 0.078180 100000
2 50 200 0.7 138 0.077220 100000
2 50 200 0.7 139 0.077510 100000
2 50 200 0.7 140 0.077420 100000
2 50 200 0.7 141 0.076120 100000
2 50 200 0.7 142 0.076200 100000
2 50 200 0.7 143 0.074810 100000
2 50 200 0.7 144 0.076430 100000
2 50 200 0.7 145 0.074080 100000
2 50 200 0.7 146 0.075360 100000
2 50 200 0.7 147 0.072730 100000
2 50 200 0.7 148 0.072270 100000
2 50 200 0.7 149 0.070780 100000
2 50 200 0.7 150 0.071370 100000
2 50 200 0.7 151 0.072000 100000
2 50 200 0.7 152 0.071530 100000
2 50 200 0.7 153 0.069940 100000
2 50 200 0.7 154 0.070770 100000
2 50 200 0.7 155 0.068810 100000
2 50 200 0.7 156 0.067330 100000
2 50 200 0.7 157 0.069070 100000
2 50 200 0.7 158 0.068630 100000
2 50 200 0.7 159 0.067780 100000
2 50 200 0.7 160 0.066750 100000
2 50 200 0.7 161 0.066910 100000
2 50 200 0.7 162 0.066250 100000
2 50 200 0.7 163 0.066220 100000
2 50 200 0.7 164 0.066400 100000
2 50 200 0.7 165 0.065530 100000
2 50 200 0.7 166 0.064400 100000
2 50 200 0.7 167 0.065000 100000
2 50 200 0.7 168 0.064000 100000
2 50 200 0.7 169 0.063400 100000
2 50 200 0.7 170 0.063580 100000
2 50 200 0.7 171 0.063550 100000
2 50 200 0.7 172 0.062680 100000
2 50 200 0.7 173 0.063840 100000
2 50 200 0.7 174 0.062110 100000
2 50 200 0.7 175 0.062580 100000
2 50 200 0.7 176 0.060300 100000
2 50 200 0.7 177 0.061820 100000
2 50 200 0.7 178 0.061200 100000
2 50 200 0.7 179 0.059940 100000
2 50 200 0.7 180 0.059570 100000
2 50 200 0.8 0 1.000000 100000
2 50 200 0.8 1 0.975890 100000
2 50 200 0.8 2 0.947100 100000
2 50 200 0.8 3 0.918860 100000
